CIP_FIRST4,CREDLEV,AGR
110,5,3.57%
199,3,2.96%
305,3,2.65%
402,3,3.48%
402,5,3.19%
901,3,3.45%
901,5,2.82%
904,3,3.54%
904,5,2.86%
1003,3,2.92%
1003,5,1.60%
1101,3,2.35%
1101,5,2.20%
1104,5,3.03%
1107,3,3.03%
1107,6,1.38%
1107,5,2.28%
1108,5,2.16%
1109,5,2.54%
1110,5,3.26%
1301,3,2.24%
1303,5,1.42%
1304,5,2.01%
1310,5,1.64%
1312,5,1.49%
1314,5,2.01%
1402,3,3.16%
1402,5,2.54%
1407,3,2.96%
1407,6,2.35%
1407,5,2.82%
1408,3,2.92%
1409,3,3.03%
1409,6,1.85%
1409,5,2.61%
1410,3,2.96%
1410,5,2.61%
1418,5,2.75%
1419,3,2.72%
1419,5,2.32%
1423,5,3.12%
1425,5,3.38%
1427,5,2.39%
1435,3,2.79%
1435,5,2.72%
1437,5,2.50%
1439,5,3.35%
1503,6,2.01%
1510,3,2.86%
1609,3,2.50%
2201,7,4.21%
2301,3,2.99%
2301,5,1.47%
2313,5,2.82%
2401,3,3.35%
2401,5,2.65%
2501,5,0.92%
2601,3,2.89%
2602,6,2.75%
2699,6,2.32%
2699,5,3.22%
2701,3,4.04%
2703,5,3.81%
2705,5,1.02%
3020,5,3.26%
3031,5,1.76%
3801,3,4.04%
3802,3,2.39%
3802,5,1.47%
4005,3,3.57%
4005,5,2.28%
4006,3,3.41%
4008,3,3.72%
4008,6,2.50%
4008,5,3.35%
4201,3,2.92%
4228,5,1.72%
4301,3,2.68%
4301,5,2.39%
4400,5,0.92%
4407,5,1.64%
4502,3,2.89%
4506,3,3.84%
4506,6,1.60%
4507,3,2.61%
4509,3,3.87%
4509,5,4.10%
4510,3,3.69%
4511,3,2.65%
4511,5,1.89%
4606,5,3.45%
5004,3,2.16%
5004,5,2.09%
5005,3,2.61%
5006,3,3.35%
5009,3,2.39%
5107,3,2.50%
5107,5,2.35%
5131,3,1.85%
5138,7,0.80%
5139,3,1.18%
5139,5,1.02%
5202,5,2.92%
5203,3,2.92%
5206,5,3.48%
5207,5,4.01%
5208,3,3.45%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
5208,5,0.030407908
5209,3,0.023534348
5211,5,0.038969859
5212,3,0.028899929
,,
,,
5212,5,0.034671586
5213,5,0.0264552
5214,3,0.037798489
5214,5,0.043443176
5216,5,0.039259226
5220,5,0.029580652
5299,5,0.041526166
5401,3,0.033511888
5401,5,0.018463025
